auction_date,scored_on_utc,fwd_5d_ret,outcome_up,hit,brier,hash
2026-07-10,2026-07-19T23:47:25Z,+0.04608,1,1,0.2212,40ce10f1ee28e7fb
2026-07-11,2026-07-19T23:47:25Z,+0.08937,1,1,0.2212,e883826c7b1572b4
2026-07-13,2026-07-19T23:47:25Z,+0.08927,1,1,0.2212,e095cd878deb0d75
2026-07-14,2026-07-29T13:41:53Z,+0.12049,1,1,0.2212,cf7107e3c5e63923
2026-07-15,2026-07-29T13:41:53Z,+0.16186,1,1,0.2212,e4882d288f252dd9
2026-07-16,2026-07-29T13:41:53Z,+0.15324,1,1,0.2035,69b22ad64cc1434d
2026-07-17,2026-07-29T13:41:53Z,+0.05412,1,1,0.2035,338a94bb5453ce03
2026-07-18,2026-07-29T13:41:53Z,+0.04020,1,1,0.2307,7f0755170620fee4
2026-07-24,2026-08-04T18:50:39Z,+0.02172,1,1,0.2109,3a70a720ee983171
2026-07-25,2026-08-04T18:50:39Z,-0.02677,0,0,0.2925,442c4bdb00545220
2026-07-27,2026-08-04T18:50:39Z,-0.03938,0,0,0.2925,a84d16f66f762259
2026-07-28,2026-08-04T18:50:39Z,-0.02762,0,0,0.2925,514c6f4ce5f95ce4
2026-07-29,2026-08-04T18:50:39Z,-0.05055,0,0,0.2925,240e8934a877ced1
